Episode,Cumulative Reward,Episode Length,Entropy
1,38.49999999999999,20,0.06400998872704804
2,38.49999999999999,20,0.06006941362284124
3,38.49999999999999,20,0.11773910857737065
4,38.49999999999999,20,0.15827204752713442
5,37.89999999999999,20,0.2134073802269995
6,38.49999999999999,20,0.11627195682376623
7,38.49999999999999,20,0.06002121977508068
8,38.49999999999999,20,0.11853058272972702
9,38.49999999999999,20,0.08264432325959206
10,38.49999999999999,20,0.13539115320891143
11,38.49999999999999,20,0.07484059371054172
12,38.49999999999999,20,0.0578518258407712
13,38.49999999999999,20,0.20508585795760154
14,37.89999999999999,20,0.22428828123956918
15,38.49999999999999,20,0.0631424471270293
16,38.49999999999999,20,0.08631983916275203
17,38.49999999999999,20,0.06664706435985863
18,38.49999999999999,20,0.11648609191179275
19,38.49999999999999,20,0.13393036555498838
20,38.49999999999999,20,0.07947918325662613
21,38.49999999999999,20,0.06933971047401429
22,38.49999999999999,20,0.08343616519123316
23,38.49999999999999,20,0.0532106383703649
24,38.49999999999999,20,0.08787468862719834
25,38.49999999999999,20,0.0575240250211209
26,38.49999999999999,20,0.06509460960514843
27,38.49999999999999,20,0.05732640400528908
28,37.7,20,0.3203194495290518
29,38.49999999999999,20,0.09420443922281266
30,38.49999999999999,20,0.06373612284660339
31,38.49999999999999,20,0.060665041813626884
32,38.49999999999999,20,0.0652477971278131
33,38.49999999999999,20,0.14091793978586792
34,38.49999999999999,20,0.0899749357253313
35,37.300000000000004,20,0.3909171879291534
36,38.49999999999999,20,0.06061156550422311
37,38.49999999999999,20,0.06657154364511371
38,38.49999999999999,20,0.06164926053024829
39,38.49999999999999,20,0.07734827548265458
40,38.49999999999999,20,0.11785882441326975
41,38.49999999999999,20,0.1424169225618243
42,38.49999999999999,20,0.08330465825274587
43,38.49999999999999,20,0.06629893770441413
44,38.49999999999999,20,0.07500321101397275
45,38.49999999999999,20,0.0775773782748729
46,38.49999999999999,20,0.15420684749260544
47,38.49999999999999,20,0.10594740547239781
48,38.49999999999999,20,0.06274605304934085
49,38.49999999999999,20,0.06382524413056671
50,38.49999999999999,20,0.06115851937793195
51,38.49999999999999,20,0.09122041380032897
52,38.49999999999999,20,0.08806502595543861
53,38.49999999999999,20,0.0799492214806378
54,38.49999999999999,20,0.050052655627951026
55,38.1,20,0.15277735833078623
56,38.49999999999999,20,0.11041654478758574
57,38.49999999999999,20,0.07544771046377718
58,38.49999999999999,20,0.06205729362554848
59,38.49999999999999,20,0.05584932523779571
60,38.49999999999999,20,0.07042975444346666
61,38.49999999999999,20,0.08272896064445376
62,38.49999999999999,20,0.057607197156175974
63,38.49999999999999,20,0.058590504620224235
64,38.49999999999999,20,0.09270257093012332
65,38.49999999999999,20,0.07808183836750686
66,38.49999999999999,20,0.059236396895721556
67,38.49999999999999,20,0.08753559337928891
68,38.49999999999999,20,0.06133157638832927
69,38.49999999999999,20,0.05588929527439177
70,38.49999999999999,20,0.062798633845523
71,38.49999999999999,20,0.07669884599745273
72,38.49999999999999,20,0.08414998138323426
73,38.49999999999999,20,0.08006800762377679
74,38.49999999999999,20,0.08217509090900421
75,38.49999999999999,20,0.09395440649241209
76,38.49999999999999,20,0.1331836897879839
77,38.49999999999999,20,0.0698208938818425
78,38.49999999999999,20,0.06605444164015353
79,38.49999999999999,20,0.14826591331511735
80,38.49999999999999,20,0.06511769760400057
81,38.49999999999999,20,0.13460360020399093
82,37.900000000000006,20,0.33014656230807304
83,38.49999999999999,20,0.0631659749429673
84,38.49999999999999,20,0.057451266096904874
85,38.49999999999999,20,0.1630318036302924
86,38.49999999999999,20,0.18559378245845437
87,38.49999999999999,20,0.18908887691795825
88,38.49999999999999,20,0.18081475216895343
89,38.49999999999999,20,0.10507174339145423
90,38.49999999999999,20,0.07474006181582808
91,38.49999999999999,20,0.1158239085227251
92,38.49999999999999,20,0.08279384365305305
93,38.49999999999999,20,0.13552834624424576
94,38.49999999999999,20,0.09059333391487598
95,38.49999999999999,20,0.06946205589920282
96,38.49999999999999,20,0.1265149237588048
97,38.49999999999999,20,0.15754947988316417
98,38.1,20,0.26185089647769927
99,38.49999999999999,20,0.06137114972807467
100,38.49999999999999,20,0.13975746165961028
101,38.49999999999999,20,0.137939890101552
102,38.49999999999999,20,0.061964361323043705
103,38.49999999999999,20,0.05432451511733234
104,38.49999999999999,20,0.14457826633006335
105,38.49999999999999,20,0.08455675169825554
106,38.49999999999999,20,0.09600465875118971
107,38.49999999999999,20,0.07211780636571348
108,38.49999999999999,20,0.06350020286627114
109,38.49999999999999,20,0.0674729130230844
110,38.49999999999999,20,0.07855981355533004
