Episode,Cumulative Reward,Episode Length,Q Variance
1,37.900000000000006,20,73.170876
2,38.49999999999999,20,72.05695
3,37.300000000000004,20,82.36147
4,36.9,20,78.00243
5,38.49999999999999,20,86.04163
6,37.1,20,77.95728
7,37.3,20,70.73384
8,38.099999999999994,20,84.49358
9,36.5,20,70.5853
10,38.49999999999999,20,78.04033
11,37.900000000000006,20,74.65414
12,38.49999999999999,20,68.82141
13,38.49999999999999,20,77.19793
14,38.099999999999994,20,88.56283
15,38.49999999999999,20,69.43208
16,38.099999999999994,20,81.31823
17,38.49999999999999,20,72.63048
18,37.300000000000004,20,80.696526
19,36.9,20,75.434
20,37.300000000000004,20,68.73675
21,38.1,20,71.87485
22,37.3,20,67.37679
23,38.099999999999994,20,73.33258
24,37.5,20,63.368073
25,38.49999999999999,20,72.032555
26,38.49999999999999,20,72.21582
27,37.900000000000006,20,72.871994
28,37.099999999999994,20,65.419044
29,37.3,20,74.36958
30,37.900000000000006,20,78.4432
31,38.49999999999999,20,64.78258
32,37.900000000000006,20,72.61616
33,38.49999999999999,20,80.08686
34,36.500000000000014,20,77.01161
35,37.29999999999999,20,69.58407
36,38.49999999999999,20,70.25395
37,37.5,20,69.28119
38,37.69999999999999,20,65.89963
39,37.5,20,65.68093
40,36.50000000000001,20,75.41134
41,37.1,20,77.79869
42,38.49999999999999,20,75.86537
43,38.49999999999999,20,68.593475
44,36.900000000000006,20,66.650795
45,38.49999999999999,20,77.45114
46,38.099999999999994,20,85.40841
47,36.9,20,70.087296
48,37.69999999999999,20,65.95775
49,37.5,20,65.9293
50,38.49999999999999,20,67.94596
51,38.099999999999994,20,81.510544
52,38.49999999999999,20,74.585526
53,37.900000000000006,20,76.00306
54,38.49999999999999,20,74.8905
55,37.699999999999996,20,62.458942
56,38.099999999999994,20,81.63809
57,37.1,20,70.182236
58,38.49999999999999,20,70.31478
59,37.3,20,69.68433
60,38.099999999999994,20,77.95821
61,36.7,20,63.257217
62,38.49999999999999,20,72.61173
63,37.3,20,73.85549
64,38.49999999999999,20,74.883255
65,38.49999999999999,20,73.82494
66,37.69999999999999,20,65.868935
67,37.900000000000006,20,73.97155
68,37.900000000000006,20,76.279015
69,37.3,20,72.09381
70,38.49999999999999,20,68.33912
71,37.1,20,68.52979
72,36.900000000000006,20,79.75139
73,37.900000000000006,20,78.82591
74,38.099999999999994,20,78.995316
75,37.3,20,65.73752
76,36.9,20,72.0422
77,37.900000000000006,20,74.40412
78,37.69999999999999,20,66.01002
79,36.9,20,74.71881
80,38.49999999999999,20,72.99235
81,37.1,20,78.13152
82,37.3,20,71.15862
83,38.099999999999994,20,75.640976
84,37.3,20,75.92556
