#{"t_start": 1743683711.9150567, "env_id": "None"}
r,l,t
17.7,20,10.383919
-9.1,20,10.399594
0.3,20,10.415745
12.3,20,10.463202
18.9,18,10.484004
-6.5,20,10.508108
28.9,17,10.525033
21.3,14,10.538035
-1.3,20,10.556949
-12.7,20,10.572653
11.9,15,11.492776
-7.7,20,11.509004
7.3,20,11.527573
23.6,6,11.53357
29.7,14,11.54746
-4.1,20,11.554475
2.1,20,11.586099
7.5,20,11.602116
-14.9,20,11.621894
10.5,14,11.633654
14.3,20,11.657581
22.6,8,11.66534
-2.9,20,11.688483
-15.1,20,11.696636
18.9,9,11.712387
16.3,11,11.73396
-0.5,20,11.744088
5.3,20,11.76213
22.5,13,11.785404
9.5,20,11.791829
7.1,20,11.807674
-13.9,20,11.823654
-8.9,20,11.857271
-3.7,20,11.873075
16.4,8,11.877092
6.5,20,11.889903
-20.5,20,11.919115
6.5,20,11.942546
19.1,20,11.966745
25.9,17,11.985726
-1.1,20,12.00111
-12.5,20,12.014084
-3.9,20,12.046691
4.3,20,12.071354
-1.7,20,12.089429
-1.7,20,12.104194
16.3,11,12.119651
1.5,20,12.1353
29.1,17,12.1353
27.4,8,12.150967
5.1,20,12.173392
4.3,20,12.191643
17.5,11,12.202547
24.1,11,12.217103
15.4,8,12.224094
27.3,16,12.248785
-12.1,20,12.267607
0.9,20,12.285897
18.9,18,12.307243
11.9,20,12.323976
-19.1,20,12.344889
-21.3,20,12.376192
4.5,20,12.404924
2.9,20,12.408753
23.3,20,12.444595
-8.1,20,12.459613
-3.1,20,12.473657
13.1,18,12.489478
-9.3,20,13.20312
14.7,19,13.229117
22.3,10,13.237207
-7.9,20,13.258716
22.3,19,13.284799
9.7,20,13.312137
24.1,12,13.330064
5.1,20,13.352771
-0.7,20,13.368407
3.9,20,13.374419
21.9,18,13.393209
-11.3,20,13.406056
17.7,5,13.422607
-20.5,20,13.4378
0.9,20,13.4378
1.5,20,13.453852
5.9,20,13.469951
16.5,11,13.492156
4.5,20,13.501808
-5.1,20,13.517756
10.1,20,13.533504
1.9,20,13.549424
-5.9,20,13.565583
8.1,20,13.565583
17.1,20,13.587257
-9.1,20,13.599541
23.3,11,13.613689
12.1,20,13.630563
-8.3,20,13.645616
15.7,15,13.656547
30.7,18,13.656547
-3.7,20,13.671737
-7.1,20,13.687275
24.3,11,13.710428
11.3,20,13.71937
-4.7,20,13.735247
6.9,20,13.766852
1.3,20,13.787604
-3.1,20,13.805312
5.5,20,13.830489
13.7,9,13.839175
32.7,19,13.846603
-6.9,20,13.862591
-14.5,20,13.878621
0.1,20,13.894428
11.3,20,13.910585
21.5,10,13.910585
7.1,20,13.936131
-7.3,20,13.978465
8.7,20,13.993937
-15.9,20,14.007861
2.7,20,14.024237
3.1,20,14.040453
16.7,3,14.042668
-0.1,20,14.057382
-0.3,20,14.071412
12.1,20,14.073421
17.9,20,14.928317
8.7,20,14.954032
3.7,20,14.971087
0.1,20,14.988662
-7.9,20,15.006444
7.3,20,15.022215
-1.5,20,15.041412
13.5,20,15.059239
24.1,18,15.069003
12.5,11,15.084976
30.3,16,15.101044
-0.1,20,15.117055
13.5,20,15.135797
-15.9,20,15.148837
6.5,20,15.164951
-0.9,20,15.181071
-8.5,20,15.19682
6.5,20,15.213662
12.9,20,15.233881
19.1,15,15.239398
-12.5,20,15.254566
12.6,8,15.272526
1.1,20,15.292886
19.7,10,15.301989
29.3,9,15.301989
20.9,20,15.338279
5.9,20,15.351934
33.5,14,15.371465
20.5,13,15.381273
8.5,20,15.397385
-6.9,20,15.413545
25.5,9,15.413545
-3.1,20,15.437163
-6.1,20,15.445356
1.7,20,15.46417
12.3,20,15.477232
0.1,20,15.497993
30.3,20,15.521157
